time,t2m,skt,sp,cvh,siconc,number,latitude,longitude,expver,ssr,t2m_c,skt_c
1975-01-01 00:00:00,244.67393,243.90117,69441.54,0.0,,0,-90.0,335.25,0001,,-28.476059,-29.248825
1975-01-01 06:00:00,,,,,,0,-90.0,335.25,,5463040.0,,
1975-02-01 00:00:00,237.18489,235.91046,69172.1,0.0,,0,-90.0,335.25,0001,,-35.965103,-37.239532
1975-02-01 06:00:00,,,,,,0,-90.0,335.25,,3017728.0,,
1975-03-01 00:00:00,227.72191,225.86899,68785.695,0.0,,0,-90.0,335.25,0001,,-45.428085,-47.281006
1975-03-01 06:00:00,,,,,,0,-90.0,335.25,,431655.12,,
1975-04-01 00:00:00,218.36345,216.10957,68145.39,0.0,,0,-90.0,335.25,0001,,-54.786545,-57.04042
1975-04-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1975-05-01 00:00:00,223.30365,220.19647,69257.914,0.0,,0,-90.0,335.25,0001,,-49.846344,-52.95352
1975-05-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1975-06-01 00:00:00,215.7493,212.6402,68444.42,0.0,,0,-90.0,335.25,0001,,-57.400696,-60.509796
1975-06-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1975-07-01 00:00:00,213.68628,211.41937,68189.8,0.0,,0,-90.0,335.25,0001,,-59.463715,-61.73062
1975-07-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1975-08-01 00:00:00,215.8345,213.59042,67507.516,0.0,,0,-90.0,335.25,0001,,-57.31549,-59.55957
1975-08-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1975-09-01 00:00:00,216.35612,214.14513,67605.41,0.0,,0,-90.0,335.25,0001,,-56.79387,-59.004868
1975-09-01 06:00:00,,,,,,0,-90.0,335.25,,59219.43,,
1975-10-01 00:00:00,225.04134,223.52219,67894.42,0.0,,0,-90.0,335.25,0001,,-48.108658,-49.627808
1975-10-01 06:00:00,,,,,,0,-90.0,335.25,,1942528.0,,
1975-11-01 00:00:00,235.58806,234.43327,68551.2,0.0,,0,-90.0,335.25,0001,,-37.561935,-38.71672
1975-11-01 06:00:00,,,,,,0,-90.0,335.25,,4843520.0,,
1975-12-01 00:00:00,244.1767,243.4778,69410.89,0.0,,0,-90.0,335.25,0001,,-28.973297,-29.672195
1975-12-01 06:00:00,,,,,,0,-90.0,335.25,,6314496.0,,
1976-01-01 00:00:00,243.92943,243.08438,69589.05,0.0,,0,-90.0,335.25,0001,,-29.220566,-30.065613
1976-01-01 06:00:00,,,,,,0,-90.0,335.25,,5580800.0,,
1976-02-01 00:00:00,235.2921,234.21252,68794.81,0.0,,0,-90.0,335.25,0001,,-37.857895,-38.93747
1976-02-01 06:00:00,,,,,,0,-90.0,335.25,,3040256.0,,
1976-03-01 00:00:00,224.04428,222.53517,68433.12,0.0,,0,-90.0,335.25,0001,,-49.105713,-50.614822
1976-03-01 06:00:00,,,,,,0,-90.0,335.25,,406018.38,,
1976-04-01 00:00:00,216.6949,214.35902,67889.32,0.0,,0,-90.0,335.25,0001,,-56.455093,-58.79097
1976-04-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1976-05-01 00:00:00,216.9002,214.52448,67568.2,0.0,,0,-90.0,335.25,0001,,-56.249786,-58.62552
1976-05-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1976-06-01 00:00:00,216.61731,213.92453,68241.766,0.0,,0,-90.0,335.25,0001,,-56.532684,-59.225464
1976-06-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1976-07-01 00:00:00,215.93188,213.53635,68236.4,0.0,,0,-90.0,335.25,0001,,-57.21811,-59.613647
1976-07-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1976-08-01 00:00:00,212.27019,209.27824,67424.45,0.0,,0,-90.0,335.25,0001,,-60.879807,-63.87175
1976-08-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1976-09-01 00:00:00,217.75783,215.20782,67402.24,0.0,,0,-90.0,335.25,0001,,-55.392166,-57.94217
1976-09-01 06:00:00,,,,,,0,-90.0,335.25,,72855.0,,
1976-10-01 00:00:00,224.97229,223.15422,67284.86,0.0,,0,-90.0,335.25,0001,,-48.177704,-49.995773
1976-10-01 06:00:00,,,,,,0,-90.0,335.25,,1992192.0,,
1976-11-01 00:00:00,236.34882,235.59496,69202.39,0.0,,0,-90.0,335.25,0001,,-36.801178,-37.55504
1976-11-01 06:00:00,,,,,,0,-90.0,335.25,,4730368.0,,
1976-12-01 00:00:00,245.53049,244.96294,70252.66,0.0,,0,-90.0,335.25,0001,,-27.619507,-28.187057
1976-12-01 06:00:00,,,,,,0,-90.0,335.25,,6223360.0,,
1977-01-01 00:00:00,246.83324,246.23053,70038.17,0.0,,0,-90.0,335.25,0001,,-26.316757,-26.919464
1977-01-01 06:00:00,,,,,,0,-90.0,335.25,,5311488.0,,
1977-02-01 00:00:00,234.28802,232.97214,68784.23,0.0,,0,-90.0,335.25,0001,,-38.86197,-40.177856
1977-02-01 06:00:00,,,,,,0,-90.0,335.25,,3082240.0,,
