Year,Month,Ant_total,Ant_east,Ant_west,sp,ssr,t2m_c,skt_c,N2O,CO2,CH4
1975,1,,,,69441.54,5463040,-28.476059,-29.248825,,,
1975,2,,,,69172.1,3017728,-35.965103,-37.239532,,,
1975,3,,,,68785.695,431655.12,-45.428085,-47.281006,,,
1975,4,,,,68145.39,8.64E-11,-54.786545,-57.04042,,,
1975,5,,,,69257.914,8.64E-11,-49.846344,-52.95352,,,
1975,6,,,,68444.42,8.64E-11,-57.400696,-60.509796,,,
1975,7,,,,68189.8,8.64E-11,-59.463715,-61.73062,,329.39,
1975,8,,,,67507.516,8.64E-11,-57.31549,-59.55957,,329.86,
1975,9,,,,67605.41,59219.43,-56.79387,-59.004868,,330.05,
1975,10,,,,67894.42,1942528,-48.108658,-49.627808,,330.27,
1975,11,,,,68551.2,4843520,-37.561935,-38.71672,,330.47,
1975,12,,,,69410.89,6314496,-28.973297,-29.672195,,330.08,
1976,1,,,,69589.05,5580800,-29.220566,-30.065613,,329.46,
1976,2,,,,68794.81,3040256,-37.857895,-38.93747,,329.23,
1976,3,,,,68433.12,406018.38,-49.105713,-50.614822,,329.18,
1976,4,,,,67889.32,8.64E-11,-56.455093,-58.79097,,329.37,
1976,5,,,,67568.2,8.64E-11,-56.249786,-58.62552,,329.61,
1976,6,,,,68241.766,8.64E-11,-56.532684,-59.225464,,329.78,
1976,7,,,,68236.4,8.64E-11,-57.21811,-59.613647,,330.16,
1976,8,,,,67424.45,8.64E-11,-60.879807,-63.87175,,330.69,
1976,9,,,,67402.24,72855,-55.392166,-57.94217,,331.16,
1976,10,,,,67284.86,1992192,-48.177704,-49.995773,,331.52,
1976,11,,,,69202.39,4730368,-36.801178,-37.55504,,331.49,
1976,12,,,,70252.66,6223360,-27.619507,-28.187057,,331.07,
1977,1,,,,70038.17,5311488,-26.316757,-26.919464,,330.84,
1977,2,,,,68784.23,3082240,-38.86197,-40.177856,,330.86,
1977,3,,,,68569.1,388304.06,-48.038773,-49.523514,,330.72,
1977,4,,,,68633.586,8.64E-11,-51.50238,-53.400497,,330.53,
1977,5,,,,68712.016,8.64E-11,-49.961975,-51.957047,,330.67,
1977,6,,,,68639.14,8.64E-11,-49.99701,-51.45854,,331.01,
1977,7,,,,68273.69,8.64E-11,-51.522903,-53.883835,,331.56,
1977,8,,,,68536.93,8.64E-11,-53.28282,-55.57817,,332.49,
1977,9,,,,67021.086,62216.527,-55.842743,-58.206543,,333,
1977,10,,,,67662.83,2209280,-53.31581,-55.607834,,332.82,
1977,11,,,,68315.59,4749824,-38.4097,-39.304337,,332.49,
1977,12,,,,69185.54,6443520,-31.723267,-32.29239,,332.39,
1978,1,,,,68861.77,5644800,-31.025558,-31.957626,,332.46,
1978,2,,,,68904.36,2998784,-37.499435,-38.71521,,332.35,
1978,3,,,,68723.59,501199.8,-48.4505,-50.463425,,332.27,
1978,4,,,,68743.46,8.64E-11,-46.02954,-47.548798,,332.6,
1978,5,,,,68399.25,8.64E-11,-50.5316,-52.546173,,333.14,
1978,6,,,,68301.89,8.64E-11,-54.774017,-56.892807,,333.48,
1978,7,,,,68510.14,8.64E-11,-55.630493,-58.029434,,333.85,
1978,8,,,,67044.84,8.64E-11,-53.496613,-56.064056,,334.38,
1978,9,,,,67800.58,56936.453,-54.598206,-57.412582,,334.84,
1978,10,,,,68239.47,1790976,-44.88127,-46.195602,,335.33,
1978,11,,,,68749.78,4787200,-36.24591,-36.88286,,335.28,
1978,12,,,,69169.46,6238208,-28.965225,-29.482056,,334.81,
1979,1,,,,69258.2,5719040,-30.221878,-31.227448,,334.36,
1979,2,,,,68907.58,3184128,-39.004654,-40.647827,,333.89,
1979,3,,,,68381.17,413840.44,-45.236313,-46.412018,,333.65,
1979,4,,,,68794.79,8.64E-11,-47.333817,-49.805847,,333.82,
1979,5,,,,67839.27,8.64E-11,-54.506027,-56.96547,,334.21,
1979,6,,,,68363.234,8.64E-11,-50.72348,-52.277542,,334.43,
1979,7,,,,67042.8,8.64E-11,-57.205215,-59.22699,,334.97,
1979,8,,,,67913.28,8.64E-11,-54.985825,-57.276,,335.56,
1979,9,,,,68242.56,49469.863,-50.36786,-52.27449,,335.6,
1979,10,,,,68033.15,1828352,-47.49849,-49.15274,,335.59,
1979,11,,,,68981.11,4768768,-36.459763,-37.697876,,335.65,
1979,12,,,,69445.375,6250496,-29.260468,-29.953415,,335.79,
1980,1,,,,69395.41,5707264,-29.748352,-30.873428,,335.97,
1980,2,,,,69253.55,3107840,-38.869186,-40.148453,,336.15,
1980,3,,,,68867.62,445911.7,-46.972046,-49.37828,,336.33,
1980,4,,,,68968.83,8.64E-11,-51.802094,-54.26671,,336.51,
1980,5,,,,68720.53,8.64E-11,-51.48265,-53.78253,,336.69,
1980,6,,,,68213.86,8.64E-11,-52.66725,-54.442825,,336.87,
1980,7,,,,68645.99,8.64E-11,-52.932663,-55.74353,,337.05,
1980,8,,,,68609.95,8.64E-11,-55.49205,-58.40033,,337.23,
1980,9,,,,68554.16,58931.195,-54.010544,-56.32312,,337.41,
1980,10,,,,68081.77,1839616,-46.649506,-47.904495,,337.59,
1980,11,,,,69367.14,4590080,-34.003082,-34.907303,,337.77,
1980,12,,,,69306.93,6234624,-29.852081,-30.424088,,337.95,
1981,1,,,,69302.42,5260288,-27.894104,-28.585037,,338.13,
1981,2,,,,69032.25,3059200,-37.46315,-38.71747,,338.31,
1981,3,,,,69313.45,481208.7,-46.96405,-49.098846,,338.49,
1981,4,,,,68458.91,8.64E-11,-50.84726,-53.594574,,338.67,
1981,5,,,,68697.36,8.64E-11,-47.8181,-49.201645,,338.85,
1981,6,,,,68352.03,8.64E-11,-51.36946,-53.023804,,339.03,
1981,7,,,,68834.2,8.64E-11,-49.57483,-51.8192,,339.21,
1981,8,,,,69056.81,8.64E-11,-48.4133,-50.60977,,339.55,
1981,9,,,,67907.83,80308,-54.703354,-57.486115,,339.55,
1981,10,,,,68135.484,2103808,-51.775238,-53.96489,,339.5,
1981,11,,,,68334.85,4922880,-38.433136,-39.640762,,339.41,
1981,12,,,,68745.05,6173696,-28.968063,-29.684784,,339.12,
1982,1,,,,69568.875,5612032,-29.46199,-30.534073,,338.93,
1982,2,,,,68943.06,3179520,-38.07286,-39.711548,,338.8,
1982,3,,,,67970.64,438970.62,-47.94931,-49.296066,,338.74,
1982,4,,,,68158.56,8.64E-11,-47.36116,-49.335266,,339.01,
1982,5,,,,68185.09,8.64E-11,-48.915024,-51.121536,,339.25,
1982,6,,,,67865.94,8.64E-11,-52.691254,-54.356354,,339.35,
1982,7,,,,68488.09,8.64E-11,-51.04657,-53.520493,,339.66,
1982,8,,,,67907.96,8.64E-11,-54.247864,-56.39502,,340.12,
1982,9,,,,67668.58,50940.582,-54.845657,-57.119812,,340.41,
1982,10,,,,68309.76,1723904,-43.874023,-45.371124,,340.46,
1982,11,,,,69336.39,4900352,-33.2574,-34.44789,,340.29,
1982,12,,,,70016.984,6193664,-27.758347,-28.524124,,340.07,
1983,1,,,,69633.65,5266944,-28.134048,-28.644241,,339.96,
1983,2,,,,69206.49,3051520,-38.5085,-39.916473,,339.81,1.5559
1983,3,,,,68816.83,483225.12,-47.56125,-49.625153,,339.78,1.5562
1983,4,,,,68846.53,8.64E-11,-49.76944,-51.95465,,340.22,1.56197
1983,5,,,,69286.68,8.64E-11,-50.415024,-52.64859,,340.71,1.57032
1983,6,,,,68362.16,8.64E-11,-54.00879,-56.491577,,340.93,1.57808
1983,7,,,,67837.336,8.64E-11,-54.755463,-56.606888,,341.26,1.58607
1983,8,,,,68148.78,8.64E-11,-51.421326,-53.78311,,341.81,1.59237
1983,9,,,,67991.89,59610.023,-52.17737,-54.47206,,342.09,1.59581
1983,10,,,,67826.16,1940992,-46.893204,-48.336197,,342.12,1.59713
1983,11,,,,68145.28,4417536,-37.871338,-38.25006,,342.08,1.59413
1983,12,,,,69157.516,6439424,-31.033707,-31.954773,,341.96,1.58773
1984,1,,,,69881.91,5473280,-28.097824,-29.012268,,341.84,1.58005
1984,2,,,,69124.49,2701312,-34.99672,-35.51317,,341.76,1.57559
1984,3,,,,68623.8,388971.5,-45.088745,-47.124725,,341.68,1.5767
1984,4,,,,68639.17,8.64E-11,-52.478256,-54.675323,,341.66,1.58204
1984,5,,,,69028.77,8.64E-11,-48.88893,-50.962357,,341.79,1.59021
1984,6,,,,68354.484,8.64E-11,-57.342102,-59.684372,,342.02,1.5964
1984,7,,,,68155.95,8.64E-11,-48.38846,-49.914948,,342.44,1.60014
