Year,Month,Ant_total_CO2eq_model,sp,ssr,t2m_c,skt_c,CO2_eq
1975,1,2521.954001,69441.54,5463040,-28.476059,-29.248825,450.2608636
1975,2,2515.722685,69172.1,3017728,-35.965103,-37.239532,450.4466375
1975,3,2509.491369,68785.695,431655.12,-45.428085,-47.281006,450.6324114
1975,4,2503.26006,68145.39,8.64E-11,-54.786545,-57.04042,450.8181851
1975,5,2497.028745,69257.914,8.64E-11,-49.846344,-52.95352,451.003959
1975,6,2490.797426,68444.42,8.64E-11,-57.400696,-60.509796,451.189733
1975,7,2343.892485,68189.8,8.64E-11,-59.463715,-61.73062,455.5694026
1975,8,2326.957438,67507.516,8.64E-11,-57.31549,-59.55957,456.0742863
1975,9,2319.414283,67605.41,59219.43,-56.79387,-59.004868,456.29917
1975,10,2310.864864,67894.42,1942528,-48.108658,-49.627808,456.5540534
1975,11,2302.986287,68551.2,4843520,-37.561935,-38.71672,456.788937
1975,12,2314.897765,69410.89,6314496,-28.973297,-29.672195,456.4338207
1976,1,2334.524022,69589.05,5580800,-29.220566,-30.065613,455.8487041
1976,2,2341.068705,68794.81,3040256,-37.857895,-38.93747,455.6535878
1976,3,2341.575743,68433.12,406018.38,-49.105713,-50.614822,455.6384715
1976,4,2334.032598,67889.32,8.64E-11,-56.455093,-58.79097,455.8633549
1976,5,2324.812323,67568.2,8.64E-11,-56.249786,-58.62552,456.1382385
1976,6,2317.940017,68241.766,8.64E-11,-56.532684,-59.225464,456.3431222
1976,7,2304.023793,68236.4,8.64E-11,-57.21811,-59.613647,456.7580059
1976,8,2285.076208,67424.45,8.64E-11,-60.879807,-63.87175,457.3228893
1976,9,2268.141164,67402.24,72855,-55.392166,-57.94217,457.8277729
1976,10,2254.895789,67284.86,1992192,-48.177704,-49.995773,458.2226566
1976,11,2254.731988,69202.39,4730368,-36.801178,-37.55504,458.22754
1976,12,2267.64974,70252.66,6223360,-27.619507,-28.187057,457.8424237
1977,1,2274.194423,70038.17,5311488,-26.316757,-26.919464,457.6473074
